experiment	checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
BR_train_buy_gradient_conflict_diagnosis	20260725	20260726	20260726	buy	0.836131	0.715400	0.709500	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190257
BR_train_buy_gradient_conflict_diagnosis	20260725	20260726	20260726	cat	0.835505	0.718500	0.712500	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190257
BR_train_buy_gradient_conflict_diagnosis	20260725	20260726	20260726	click	0.805303	0.709700	0.706900	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190257
BR_train_buy_gradient_conflict_diagnosis	20260725	20260726	20260726	ext	0.854873	0.798300	0.796300	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190257
BR_train_buy_gradient_conflict_diagnosis	20260726	20260727	20260727	buy	0.839449	0.706300	0.698300	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190341
BR_train_buy_gradient_conflict_diagnosis	20260726	20260727	20260727	cat	0.838185	0.709000	0.701700	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190341
BR_train_buy_gradient_conflict_diagnosis	20260726	20260727	20260727	click	0.803338	0.698400	0.695400	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190341
BR_train_buy_gradient_conflict_diagnosis	20260726	20260727	20260727	ext	0.860577	0.815800	0.814900	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190341
BR_train_buy_gradient_conflict_diagnosis	20260727	20260728	20260728	buy	0.840307	0.703800	0.696800	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190411
BR_train_buy_gradient_conflict_diagnosis	20260727	20260728	20260728	cat	0.838952	0.706900	0.699200	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190411
BR_train_buy_gradient_conflict_diagnosis	20260727	20260728	20260728	click	0.804052	0.700200	0.696700	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190411
BR_train_buy_gradient_conflict_diagnosis	20260727	20260728	20260728	ext	0.864655	0.827800	0.827400	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190411
BR_train_buy_gradient_conflict_diagnosis	20260728	20260729	20260729	buy	0.838776	0.703000	0.697200	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190442
BR_train_buy_gradient_conflict_diagnosis	20260728	20260729	20260729	cat	0.837611	0.707300	0.701300	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190442
BR_train_buy_gradient_conflict_diagnosis	20260728	20260729	20260729	click	0.805119	0.704200	0.700700	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190442
BR_train_buy_gradient_conflict_diagnosis	20260728	20260729	20260729	ext	0.856161	0.816300	0.813800	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190442
BR_train_buy_gradient_conflict_diagnosis	20260729	20260730	20260730	buy	0.838899	0.705400	0.699000	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190513
BR_train_buy_gradient_conflict_diagnosis	20260729	20260730	20260730	cat	0.837877	0.709500	0.702800	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190513
BR_train_buy_gradient_conflict_diagnosis	20260729	20260730	20260730	click	0.805165	0.702800	0.699300	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190513
BR_train_buy_gradient_conflict_diagnosis	20260729	20260730	20260730	ext	0.861883	0.804100	0.801900	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190513
BR_train_buy_gradient_conflict_diagnosis	20260730	20260731	20260731	buy	0.839579	0.709400	0.703500	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190545
BR_train_buy_gradient_conflict_diagnosis	20260730	20260731	20260731	cat	0.838481	0.712800	0.706800	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190545
BR_train_buy_gradient_conflict_diagnosis	20260730	20260731	20260731	click	0.807306	0.708000	0.704900	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190545
BR_train_buy_gradient_conflict_diagnosis	20260730	20260731	20260731	ext	0.858384	0.810800	0.808600	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190545
BR_train_buy_gradient_conflict_diagnosis	20260731	20260801	20260801	buy	0.833271	0.703800	0.696000	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190625
BR_train_buy_gradient_conflict_diagnosis	20260731	20260801	20260801	cat	0.832664	0.706700	0.698800	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190625
BR_train_buy_gradient_conflict_diagnosis	20260731	20260801	20260801	click	0.804431	0.702900	0.698300	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190625
BR_train_buy_gradient_conflict_diagnosis	20260731	20260801	20260801	ext	0.856244	0.814900	0.812200	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190625
